Time(s),RA(V),LA(V),LL(V),RL(V),V1(V),V2(V),V3(V),V4(V),V5(V),V6(V),WCT(V)
0.0000,2045.973604,2048.529302,2048.167690,2047.500000,2046.786280,2053.326801,2052.544694,2051.147486,2050.555460,2050.647843,2047.557777
0.0013,2045.991102,2048.049741,2048.049340,2047.500000,2046.565167,2052.062970,2051.799080,2050.731389,2050.226820,2050.267159,2047.362781
0.0025,2046.001871,2047.584800,2047.924087,2047.500000,2046.370644,2050.876676,2051.077061,2050.368411,2049.924827,2049.908868,2047.170674
0.0037,2046.004563,2047.154950,2047.790943,2047.500000,2046.220902,2049.802807,2050.392795,2050.093965,2049.676127,2049.572970,2046.982900
0.0050,2045.996487,2046.760190,2047.648923,2047.500000,2046.115944,2048.818105,2049.779315,2049.908049,2049.485161,2049.253067,2046.802349
0.0063,2045.978988,2046.400519,2047.502959,2047.500000,2046.048770,2047.887678,2049.255497,2049.766399,2049.356370,2048.942762,2046.627575
0.0075,2045.952068,2046.073014,2047.355022,2047.500000,2046.012384,2046.999895,2048.830780,2049.615896,2049.289753,2048.654849,2046.460023
0.0088,2045.922455,2045.771826,2047.209057,2047.500000,2046.020781,2046.174141,2048.472130,2049.398995,2049.263107,2048.424519,2046.299693
0.0100,2045.890150,2045.494032,2047.069010,2047.500000,2046.096351,2045.441430,2048.141795,2049.102415,2049.258666,2048.274165,2046.150919
0.0112,2045.860538,2045.251327,2046.941784,2047.500000,2046.264285,2044.813391,2047.797302,2048.765996,2049.236460,2048.184592,2046.018033
0.0125,2045.837655,2045.040788,2046.832310,2047.500000,2046.518985,2044.255135,2047.415057,2048.438431,2049.156521,2048.111014,2045.903924
0.0138,2045.826887,2044.865339,2046.745520,2047.500000,2046.818468,2043.720139,2047.013935,2048.146278,2048.978878,2047.992650,2045.812926
0.0150,2045.828233,2044.722055,2046.684373,2047.500000,2047.084363,2043.177390,2046.617532,2047.880684,2048.712414,2047.810306,2045.745039
0.0163,2045.847077,2044.602165,2046.645909,2047.500000,2047.249498,2042.623011,2046.254163,2047.606237,2048.383774,2047.586374,2045.698817
0.0175,2045.884766,2044.505668,2046.628157,2047.500000,2047.285884,2042.095768,2045.928547,2047.331791,2048.046252,2047.372039,2045.672818
0.0187,2045.941299,2044.429640,2046.630129,2047.500000,2047.221509,2041.638308,2045.621807,2047.088330,2047.748700,2047.199291,2045.667040
0.0200,2046.016677,2044.371157,2046.646895,2047.500000,2047.120749,2041.281645,2045.315067,2046.924547,2047.517764,2047.068131,2045.678596
0.0213,2046.108207,2044.333143,2046.678455,2047.500000,2047.036782,2041.029654,2045.003608,2046.844869,2047.353445,2046.952966,2045.706039
0.0225,2046.215889,2044.309750,2046.717905,2047.500000,2046.997597,2040.866829,2044.706306,2046.805030,2047.246859,2046.828204,2045.747927
0.0238,2046.332994,2044.300978,2046.759328,2047.500000,2046.996198,2040.758279,2044.437319,2046.729778,2047.171360,2046.703442,2045.797037
0.0250,2046.455482,2044.300978,2046.796805,2047.500000,2047.017190,2040.676867,2044.191926,2046.565996,2047.095862,2046.588277,2045.850481
0.0262,2046.579317,2044.306826,2046.822448,2047.500000,2047.053575,2040.607085,2043.965411,2046.326961,2046.980394,2046.479510,2045.902480
0.0275,2046.696421,2044.312674,2046.830338,2047.500000,2047.112352,2040.541180,2043.724738,2046.061368,2046.789428,2046.348350,2045.947256
0.0288,2046.801411,2044.315598,2046.816530,2047.500000,2047.190721,2040.483028,2043.460469,2045.831187,2046.522963,2046.172403,2045.977589
0.0300,2046.891595,2044.309750,2046.777080,2047.500000,2047.269091,2040.424876,2043.182044,2045.654124,2046.212088,2045.951670,2045.993478
0.0312,2046.960243,2044.298053,2046.711988,2047.500000,2047.329267,2040.343464,2042.927214,2045.516901,2045.918977,2045.730938,2045.990589
0.0325,2047.006008,2044.280508,2046.624212,2047.500000,2047.361454,2040.203900,2042.724293,2045.392957,2045.683600,2045.567787,2045.970367
0.0338,2047.027544,2044.257115,2046.516711,2047.500000,2047.389443,2039.998430,2042.587440,2045.282293,2045.528163,2045.481413,2045.934257
0.0350,2047.024852,2044.230798,2046.393430,2047.500000,2047.438424,2039.761947,2042.502497,2045.211468,2045.430459,2045.443025,2045.883702
0.0362,2047.000624,2044.201556,2046.259300,2047.500000,2047.515394,2039.560354,2042.450587,2045.202615,2045.354961,2045.395040,2045.820148
0.0375,2046.958897,2044.172315,2046.120239,2047.500000,2047.592364,2039.451804,2042.417553,2045.260160,2045.283903,2045.305467,2045.750816
0.0387,2046.907748,2044.145997,2045.983151,2047.500000,2047.632948,2039.463435,2042.393958,2045.330985,2045.212846,2045.190302,2045.680040
0.0400,2046.852560,2044.131377,2045.858883,2047.500000,2047.630149,2039.560354,2042.403396,2045.370824,2045.141789,2045.103928,2045.615041
0.0413,2046.802757,2044.137225,2045.756313,2047.500000,2047.621752,2039.688288,2042.455306,2045.353118,2045.070732,2045.081535,2045.565931
0.0425,2046.767761,2044.166467,2045.681359,2047.500000,2047.663736,2039.820098,2042.540249,2045.286720,2044.990792,2045.116724,2045.538488
0.0437,2046.752954,2044.227874,2045.641909,2047.500000,2047.772893,2039.963539,2042.620474,2045.193762,2044.893089,2045.161511,2045.541376
0.0450,2046.766415,2044.321447,2045.640922,2047.500000,2047.900243,2040.145748,2042.648788,2045.096378,2044.795385,2045.187103,2045.577487
0.0462,2046.814872,2044.453033,2045.678400,2047.500000,2047.963218,2040.362848,2042.587440,2045.007846,2044.702122,2045.199899,2045.648263
0.0475,2046.901017,2044.619710,2045.752368,2047.500000,2047.903042,2040.564440,2042.455306,2044.937021,2044.626624,2045.235088,2045.758038
0.0488,2047.026198,2044.818552,2045.859870,2047.500000,2047.740705,2040.680744,2042.323172,2044.897182,2044.568890,2045.327860,2045.901035
0.0500,2047.190414,2045.046636,2045.995972,2047.500000,2047.551780,2040.692374,2042.257105,2044.901609,2044.524479,2045.455821,2046.077254
0.0512,2047.393664,2045.298113,2046.153771,2047.500000,2047.407636,2040.645853,2042.271262,2044.950301,2044.502274,2045.574185,2046.280916
0.0525,2047.629219,2045.570060,2046.328337,2047.500000,2047.315273,2040.649729,2042.337329,2044.990140,2044.506715,2045.612574,2046.509133
0.0537,2047.891694,2045.859551,2046.510793,2047.500000,2047.236903,2040.781540,2042.393958,2044.954728,2044.551126,2045.554991,2046.753239
0.0550,2048.175706,2046.151966,2046.693249,2047.500000,2047.134743,2041.056791,2042.408115,2044.804225,2044.631065,2045.436627,2047.007455
0.0563,2048.471832,2046.444381,2046.865843,2047.500000,2047.033983,2041.405702,2042.408115,2044.560764,2044.724328,2045.311865,2047.261672
0.0575,2048.773343,2046.725100,2047.020683,2047.500000,2047.008793,2041.719721,2042.460025,2044.304023,2044.813149,2045.235088,2047.505778
0.0587,2049.068123,2046.988273,2047.151854,2047.500000,2047.106754,2041.929067,2042.596878,2044.113681,2044.875324,2045.203098,2047.735439
0.0600,2049.350789,2047.225130,2047.256397,2047.500000,2047.285884,2042.033740,2042.766765,2044.025150,2044.901971,2045.187103,2047.944879
0.0612,2049.611918,2047.441517,2047.331352,2047.500000,2047.424430,2042.084138,2042.870585,2044.003017,2044.879765,2045.158312,2048.128320
0.0625,2049.844781,2047.628663,2047.376719,2047.500000,2047.416033,2042.146167,2042.828113,2043.998590,2044.808708,2045.113525,2048.284316
0.0638,2050.043993,2047.789491,2047.393485,2047.500000,2047.253697,2042.246963,2042.667664,2043.985311,2044.711005,2045.094331,2048.408536
0.0650,2050.202824,2047.918154,2047.381650,2047.500000,2047.057774,2042.367143,2042.502497,2043.998590,2044.631065,2045.145515,2048.500978
0.0663,2050.318583,2048.020499,2047.343187,2047.500000,2046.993399,2042.464063,2042.469463,2044.087122,2044.613301,2045.273477,2048.560199
0.0675,2050.388576,2048.093603,2047.279080,2047.500000,2047.152936,2042.522214,2042.611035,2044.246478,2044.675476,2045.436627,2048.587643
0.0688,2050.415497,2048.137465,2047.193277,2047.500000,2047.493003,2042.560982,2042.865866,2044.405834,2044.786503,2045.554991,2048.581865
0.0700,2050.399345,2048.155010,2047.086762,2047.500000,2047.877852,2042.623011,2043.115977,2044.472232,2044.875324,2045.558190,2048.547199
0.0712,2050.342811,2048.149162,2046.965454,2047.500000,2048.177334,2042.735437,2043.266987,2044.392554,2044.875324,2045.436627,2048.485089
0.0725,2050.252628,2048.122844,2046.833296,2047.500000,2048.341070,2042.875001,2043.323616,2044.215492,2044.773180,2045.244685,2048.402758
0.0737,2050.135523,2048.078982,2046.693249,2047.500000,2048.401246,2042.991305,2043.333054,2044.056136,2044.599978,2045.065540,2048.301649
0.0750,2049.995536,2048.020499,2046.547284,2047.500000,2048.405444,2043.049456,2043.342492,2044.007444,2044.413453,2044.975967,2048.187540
0.0762,2049.842089,2047.947395,2046.398361,2047.500000,2048.371858,2043.064963,2043.347212,2044.064989,2044.262456,2044.979166,2048.063321
0.0775,2049.683258,2047.862595,2046.247465,2047.500000,2048.283692,2043.115362,2043.309459,2044.157947,2044.155870,2045.027151,2047.930435
0.0788,2049.525772,2047.763174,2046.097555,2047.500000,2048.142348,2043.270433,2043.205639,2044.188933,2044.093695,2045.055943,2047.796105
0.0800,2049.375017,2047.660828,2045.950604,2047.500000,2047.992607,2043.526300,2043.087662,2044.126961,2044.084813,2045.020753,2047.663219
0.0813,2049.237722,2047.558483,2045.811543,2047.500000,2047.912838,2043.820936,2043.031033,2044.011870,2044.146988,2044.927982,2047.536110
0.0825,2049.119272,2047.459062,2045.682345,2047.500000,2047.952022,2044.053542,2043.106539,2043.914486,2044.271338,2044.803219,2047.420557
0.0838,2049.021012,2047.368413,2045.565968,2047.500000,2048.090568,2044.173723,2043.300021,2043.852514,2044.417894,2044.672059,2047.319448
