Time(s),I-Raw(V),II-Raw(V),III-Raw(V),V1-Raw(V),V2-Raw(V),V3-Raw(V),V4-Raw(V),V5-Raw(V),V6-Raw(V),LA-Raw(V),RA-Raw(V),LL-Raw(V)
0.0000,1.856371,1.551745,1.760314,1.743469,1.583524,1.561792,1.639182,1.557198,1.658374,0.611484,0.562682,0.514421
0.0013,1.855365,1.551362,1.760078,1.744809,1.583955,1.563420,1.641239,1.559449,1.659044,0.637657,0.588187,0.544621
0.0025,1.849860,1.551025,1.758161,1.747490,1.585151,1.564855,1.644403,1.564141,1.660959,0.875099,0.827254,0.787432
0.0037,1.840242,1.550068,1.756585,1.750553,1.586680,1.565096,1.647561,1.570934,1.662921,1.312444,1.267981,1.226970
0.0050,1.828947,1.551313,1.755529,1.753329,1.589409,1.565721,1.651579,1.578691,1.665317,1.824412,1.785934,1.742643
0.0063,1.819328,1.552030,1.756296,1.755865,1.590605,1.565386,1.654066,1.583571,1.666609,2.258348,2.224311,2.173883
0.0075,1.814541,1.552224,1.758066,1.755865,1.590843,1.563469,1.653588,1.584621,1.665123,2.419933,2.389275,2.332349
0.0088,1.812435,1.551601,1.759647,1.755436,1.590079,1.561940,1.653158,1.583857,1.664500,2.419673,2.393294,2.334098
0.0100,1.812581,1.551791,1.761607,1.755195,1.589553,1.561031,1.652057,1.582661,1.664597,2.333100,2.310657,2.249930
0.0112,1.814636,1.552846,1.763235,1.754334,1.589503,1.561031,1.651579,1.580269,1.664024,2.205514,2.183534,2.123383
0.0125,1.817412,1.554137,1.764527,1.754191,1.590129,1.562132,1.651386,1.578448,1.664357,2.065264,2.041912,1.984210
0.0138,1.820476,1.554664,1.766109,1.754526,1.590749,1.563228,1.651628,1.577538,1.664454,1.928650,1.903814,1.848416
0.0150,1.824163,1.555716,1.766392,1.754191,1.590798,1.563902,1.651724,1.576488,1.664790,1.814833,1.786676,1.733427
0.0163,1.831246,1.557056,1.766250,1.752228,1.590317,1.563420,1.649715,1.573282,1.663207,1.624249,1.587737,1.532492
0.0175,1.842442,1.559451,1.766345,1.748638,1.588357,1.564093,1.647368,1.567109,1.662252,1.237886,1.194898,1.142536
0.0187,1.853737,1.559690,1.766156,1.746102,1.587206,1.564855,1.645456,1.561749,1.660627,0.825675,0.775997,0.728455
0.0200,1.859147,1.559162,1.765631,1.745049,1.586491,1.566915,1.645359,1.560931,1.661153,0.604729,0.553500,0.513473
0.0213,1.856947,1.558923,1.765725,1.745049,1.586397,1.568159,1.646600,1.563376,1.661869,0.632591,0.581540,0.546103
0.0225,1.851489,1.558111,1.764144,1.747347,1.588595,1.569693,1.648663,1.568208,1.663641,0.873345,0.824132,0.792026
0.0238,1.842158,1.557200,1.761990,1.750936,1.589985,1.570076,1.651864,1.574478,1.665746,1.312249,1.265353,1.231712
0.0250,1.832583,1.558013,1.759600,1.754142,1.593046,1.570027,1.655119,1.582041,1.667565,1.825678,1.784481,1.747919
0.0262,1.822104,1.557249,1.758591,1.756249,1.594386,1.568592,1.656413,1.586922,1.668807,2.259744,2.222116,2.177647
0.0275,1.818035,1.556673,1.759358,1.756152,1.594148,1.566340,1.655839,1.587353,1.667805,2.418472,2.384823,2.333534
0.0288,1.816792,1.556673,1.761228,1.756535,1.593766,1.565096,1.654786,1.586825,1.667228,2.416718,2.388131,2.332971
0.0300,1.816552,1.556961,1.763666,1.756678,1.593955,1.563902,1.654211,1.585914,1.666799,2.329691,2.304351,2.248389
0.0312,1.818512,1.557295,1.765342,1.756249,1.594198,1.564187,1.654405,1.584767,1.666845,2.200351,2.175775,2.120360
0.0325,1.821387,1.558445,1.765772,1.755101,1.593766,1.565047,1.654018,1.583237,1.667468,2.061205,2.034801,1.980891
0.0338,1.825358,1.558635,1.765820,1.754574,1.594674,1.566438,1.654066,1.581659,1.668045,1.927351,1.897569,1.846312
0.0350,1.829665,1.560791,1.766970,1.754048,1.595438,1.568301,1.655028,1.580985,1.669047,1.813339,1.780215,1.731411
0.0362,1.835024,1.563182,1.768310,1.751320,1.594818,1.568449,1.653636,1.578163,1.668234,1.618988,1.578586,1.528520
0.0375,1.844982,1.565096,1.769602,1.748160,1.592952,1.569402,1.651531,1.572275,1.666988,1.229443,1.184510,1.137408
0.0387,1.854458,1.565528,1.770847,1.745049,1.590749,1.570410,1.649855,1.567012,1.666176,0.814861,0.764125,0.722617
0.0400,1.859289,1.565767,1.771230,1.743183,1.590317,1.572131,1.650333,1.566199,1.666416,0.597033,0.544813,0.511843
0.0413,1.859195,1.566534,1.771183,1.741890,1.589985,1.573331,1.651579,1.568063,1.667468,0.629863,0.576903,0.548859
0.0425,1.854935,1.566629,1.768693,1.742416,1.590416,1.574525,1.654211,1.572803,1.668857,0.876787,0.823699,0.799731
0.0437,1.846800,1.567107,1.766298,1.743948,1.591851,1.574908,1.657225,1.580027,1.671059,1.316178,1.264735,1.239121
0.0450,1.835505,1.566341,1.764191,1.746629,1.593811,1.574624,1.659905,1.586922,1.673404,1.827562,1.782101,1.753846
0.0462,1.825646,1.564811,1.762568,1.747539,1.594148,1.572613,1.660243,1.591037,1.673788,2.258283,2.217603,2.180818
0.0475,1.821004,1.565240,1.764191,1.746724,1.592615,1.569693,1.658852,1.591231,1.672638,2.413308,2.376847,2.332527
0.0488,1.818082,1.564427,1.766061,1.745959,1.590367,1.566630,1.657182,1.590461,1.671152,2.411393,2.379969,2.332438
0.0500,1.818035,1.563661,1.768215,1.744857,1.587925,1.564378,1.655597,1.588166,1.670339,2.323423,2.295447,2.246433
0.0512,1.820523,1.563900,1.769124,1.743901,1.586779,1.563420,1.654593,1.585774,1.670099,2.195740,2.168077,2.119708
0.0525,1.824065,1.563900,1.769838,1.743469,1.585821,1.562943,1.653207,1.583760,1.669624,2.055749,2.026516,1.979616
0.0537,1.827034,1.564811,1.770463,1.743278,1.585821,1.563228,1.652487,1.581562,1.669527,1.921928,1.890304,1.845808
0.0550,1.830575,1.565623,1.770463,1.743040,1.585295,1.563803,1.652106,1.579504,1.669384,1.808078,1.773197,1.730700
0.0563,1.837130,1.566580,1.770558,1.739977,1.583092,1.563135,1.650000,1.576008,1.667948,1.612396,1.569497,1.524312
0.0575,1.847853,1.568352,1.770033,1.736434,1.581658,1.562702,1.647223,1.570120,1.666656,1.222916,1.174184,1.131718
0.0587,1.859289,1.569309,1.770511,1.732893,1.579504,1.562894,1.644494,1.564475,1.664837,0.811030,0.756273,0.718972
0.0600,1.865319,1.568876,1.769985,1.731743,1.578353,1.563951,1.644446,1.563085,1.664980,0.597553,0.541134,0.510954
0.0612,1.863596,1.568735,1.768788,1.731505,1.578065,1.565239,1.645595,1.565671,1.665936,0.634215,0.577429,0.551200
0.0625,1.857471,1.568018,1.767495,1.733323,1.580174,1.566581,1.648705,1.571079,1.668331,0.883055,0.827347,0.804325
0.0638,1.847517,1.566675,1.764769,1.736434,1.581946,1.566773,1.651864,1.577635,1.670483,1.323745,1.270856,1.246115
0.0650,1.837848,1.565528,1.761512,1.739497,1.584625,1.567057,1.654979,1.584767,1.672061,1.838603,1.791746,1.763626
0.0663,1.828564,1.565623,1.759695,1.741028,1.585533,1.565578,1.655645,1.589216,1.672685,2.267473,2.223260,2.186805
0.0675,1.824783,1.563566,1.758691,1.740072,1.583906,1.561984,1.654163,1.589556,1.671632,2.421069,2.380495,2.335253
0.0688,1.822104,1.562226,1.760462,1.739497,1.582898,1.558922,1.652680,1.588311,1.670626,2.417757,2.382257,2.333001
0.0700,1.822822,1.562894,1.762615,1.739689,1.582516,1.557678,1.651483,1.586394,1.669813,2.329658,2.297302,2.247144
0.0712,1.824783,1.562799,1.764769,1.740550,1.583474,1.557678,1.650859,1.584578,1.669333,2.200968,2.169282,2.119085
0.0725,1.826794,1.563038,1.764864,1.741412,1.584288,1.558445,1.650811,1.582133,1.669956,2.060685,2.027938,1.979320
0.0737,1.830193,1.564666,1.765772,1.742178,1.585389,1.559354,1.650956,1.580603,1.669813,1.926864,1.891726,1.845837
0.0750,1.832776,1.564811,1.766876,1.741746,1.584720,1.559831,1.649807,1.578831,1.669384,1.813014,1.775856,1.731174
0.0762,1.838806,1.564332,1.765914,1.740358,1.583186,1.559212,1.646793,1.574284,1.667468,1.613208,1.569466,1.521496
0.0775,1.848377,1.563949,1.766109,1.737966,1.581370,1.559404,1.644736,1.568785,1.665603,1.223143,1.174524,1.128103
0.0788,1.857566,1.565050,1.767684,1.736291,1.580844,1.560215,1.642963,1.564093,1.664310,0.810965,0.757355,0.714586
0.0800,1.862018,1.563231,1.766587,1.735908,1.580412,1.561365,1.642534,1.562417,1.663784,0.599858,0.545648,0.509264
0.0813,1.860248,1.561603,1.764816,1.736769,1.580318,1.562609,1.643060,1.564238,1.664167,0.639670,0.585312,0.552623
0.0825,1.853835,1.559690,1.762710,1.739880,1.582040,1.563326,1.644258,1.568639,1.665077,0.891822,0.839497,0.808948
0.0838,1.843736,1.557390,1.759742,1.743566,1.583712,1.562275,1.646552,1.574430,1.666369,1.335597,1.286901,1.253139
0.0850,1.832153,1.555572,1.757110,1.747969,1.585439,1.561508,1.649329,1.580317,1.667994,1.848052,1.806678,1.769109
0.0862,1.822104,1.554664,1.756007,1.750505,1.585915,1.559930,1.650097,1.584147,1.667708,2.271921,2.235039,2.187931
0.0875,1.816552,1.553514,1.757063,1.751509,1.585965,1.558111,1.649280,1.584530,1.665700,2.420030,2.387914,2.332764
0.0887,1.813535,1.552558,1.759264,1.751941,1.585628,1.556626,1.648136,1.583334,1.664310,2.413601,2.387482,2.328259
0.0900,1.813011,1.551745,1.761176,1.751463,1.584432,1.555191,1.646412,1.581034,1.663207,2.324950,2.302990,2.241543
0.0912,1.814446,1.549927,1.761465,1.750985,1.584144,1.554374,1.645740,1.578448,1.662205,2.198240,2.177506,2.115114
0.0925,1.817795,1.550261,1.762232,1.750170,1.584243,1.554566,1.645021,1.576008,1.661869,2.059191,2.036625,1.975112
0.0938,1.821194,1.549927,1.761707,1.750218,1.584194,1.554856,1.644543,1.574284,1.661919,1.926247,1.900691,1.841214
0.0950,1.825453,1.550451,1.760462,1.749451,1.583380,1.555092,1.644016,1.572275,1.661102,1.814443,1.785285,1.726284
0.0963,1.831100,1.550546,1.759453,1.748160,1.581032,1.553947,1.641433,1.567923,1.659140,1.611032,1.574969,1.511983
0.0975,1.840672,1.550356,1.759122,1.745336,1.578591,1.552895,1.637415,1.561222,1.656606,1.221098,1.180151,1.118797
0.0988,1.850676,1.549590,1.759406,1.742897,1.576105,1.552605,1.634444,1.554854,1.654307,0.812588,0.766228,0.709281
0.1000,1.855701,1.548967,1.757877,1.742562,1.575723,1.554139,1.634444,1.553659,1.654118,0.605574,0.557983,0.507338
0.1013,1.853737,1.546671,1.756007,1.742943,1.575817,1.554900,1.636072,1.555382,1.654164,0.644768,0.596936,0.549274
0.1025,1.846654,1.545091,1.754956,1.744857,1.576968,1.555475,1.637651,1.559595,1.655600,0.898609,0.853192,0.808148
0.1037,1.836653,1.542985,1.752130,1.747728,1.579216,1.555958,1.640095,1.565719,1.656938,1.341864,1.300040,1.252250
0.1050,1.825934,1.542267,1.749693,1.751271,1.581990,1.556292,1.642867,1.572324,1.659237,1.856560,1.821054,1.770324
0.1062,1.817700,1.542841,1.748590,1.753424,1.583141,1.554665,1.643635,1.575868,1.658665,2.279260,2.246416,2.186893
0.1075,1.813776,1.541262,1.748400,1.753232,1.581990,1.551695,1.642437,1.576536,1.657755,2.426850,2.397653,2.330808
0.1087,1.812198,1.542077,1.750985,1.753521,1.581608,1.550019,1.641481,1.575868,1.657322,2.419738,2.395210,2.325444
0.1100,1.811287,1.540977,1.753522,1.752946,1.580988,1.549208,1.640810,1.574047,1.656652,2.329463,2.309328,2.237809
0.1113,1.812388,1.540928,1.755098,1.752468,1.580650,1.548874,1.639757,1.571559,1.655983,2.199637,2.180752,2.109216
