Sequence,Volt
0,1.708
1,1.705667
2,1.704667
3,1.701667
4,1.694667
5,1.690667
6,1.694333
7,1.679333
8,1.651333
9,1.647333
10,1.649333
11,1.624667
12,1.638333
13,1.697667
14,1.723
15,1.723
16,1.717
17,1.710333
18,1.719333
19,1.731333
20,1.714
21,1.583667
22,1.379
23,1.444
24,1.648333
25,1.703
26,1.713333
27,1.718333
28,1.726
29,1.715
30,1.741
31,1.734
32,1.706667
33,1.732
34,1.721667
35,1.714667
36,1.716667
37,1.714
38,1.718
39,1.721333
40,1.715
41,1.703333
42,1.686
43,1.679667
44,1.691333
45,1.695
46,1.657
47,1.630667
48,1.636667
49,1.601333
50,1.592667
51,1.600667
52,1.614
53,1.640333
54,1.648
55,1.660667
56,1.679
57,1.716667
58,1.73
59,1.725667
60,1.738333
61,1.735
62,1.724
63,1.741333
64,1.741
65,1.734333
66,1.737333
67,1.726
68,1.729667
69,1.708667
70,1.717667
71,1.737667
72,1.721
73,1.73
74,1.711
75,1.715333
76,1.726
77,1.714667
78,1.735333
79,1.723667
80,1.726667
81,1.742
82,1.730333
83,1.738
84,1.742
85,1.738333
86,1.737
87,1.735
88,1.730667
89,1.726667
90,1.713333
91,1.708667
92,1.709667
93,1.704333
94,1.728667
95,1.729333
96,1.721333
97,1.715333
98,1.712667
99,1.711333
100,1.662667
101,1.668667
102,1.690333
103,1.677667
104,1.671667
105,1.686
106,1.712333
107,1.724667
108,1.737333
109,1.728333
110,1.726
111,1.737
112,1.740333
113,1.701333
114,1.509667
115,1.375667
116,1.527333
117,1.682667
118,1.719667
119,1.719333
120,1.712333
121,1.734667
122,1.735333
123,1.724
124,1.726333
125,1.728667
126,1.723
127,1.733
128,1.737333
129,1.719333
130,1.718333
131,1.726667
132,1.727
133,1.723333
134,1.709333
135,1.699667
136,1.686333
137,1.674
138,1.689
139,1.680333
140,1.636333
141,1.612
142,1.602
143,1.580333
144,1.583667
145,1.599333
146,1.622333
147,1.655667
148,1.67
149,1.683667
150,1.695667
151,1.706333
152,1.709667
153,1.712333
154,1.713333
155,1.712667
156,1.722
157,1.716333
158,1.713333
159,1.718333
160,1.717333
161,1.724
162,1.736
163,1.732333
164,1.711333
165,1.718333
166,1.708
167,1.693
168,1.712
169,1.700667
170,1.699333
171,1.706
172,1.701
173,1.712667
174,1.709
175,1.690667
176,1.693
177,1.695667
178,1.692333
179,1.699
180,1.688
181,1.683333
182,1.695667
183,1.698667
184,1.688
185,1.687333
186,1.702
187,1.693
188,1.700333
189,1.714
190,1.703333
191,1.702
192,1.676333
193,1.644
194,1.637333
