Sequence,Volt
0,2.00E-01
1,2.00E-01
2,4.00E-01
3,4.00E-01
4,4.00E-01
5,4.00E-01
6,4.00E-01
7,4.00E-01
8,4.00E-01
9,4.00E-01
10,4.00E-01
11,4.00E-01
12,4.00E-01
13,4.00E-01
14,2.00E-01
15,2.00E-01
16,2.00E-01
17,2.00E-01
18,4.00E-01
19,4.00E-01
20,4.00E-01
21,4.00E-01
22,2.00E-01
23,2.00E-01
24,4.00E-01
25,4.00E-01
26,2.00E-01
27,2.00E-01
28,4.00E-01
29,4.00E-01
30,2.00E-01
31,2.00E-01
32,2.00E-01
33,2.00E-01
34,4.00E-01
35,4.00E-01
36,2.00E-01
37,2.00E-01
38,2.00E-01
39,2.00E-01
40,4.00E-01
41,4.00E-01
42,4.00E-01
43,4.00E-01
44,4.00E-01
45,4.00E-01
46,4.00E-01
47,4.00E-01
48,2.00E-01
49,2.00E-01
50,2.00E-01
51,2.00E-01
52,2.00E-01
53,2.00E-01
54,2.00E-01
55,2.00E-01
56,4.00E-01
57,4.00E-01
58,4.00E-01
59,4.00E-01
60,4.00E-01
61,4.00E-01
62,4.00E-01
63,4.00E-01
64,4.00E-01
65,4.00E-01
66,4.00E-01
67,4.00E-01
68,2.00E-01
69,2.00E-01
70,4.00E-01
71,4.00E-01
72,4.00E-01
73,4.00E-01
74,4.00E-01
75,4.00E-01
76,4.00E-01
77,4.00E-01
78,2.00E-01
79,2.00E-01
80,4.00E-01
81,4.00E-01
82,4.00E-01
83,4.00E-01
84,4.00E-01
85,4.00E-01
86,4.00E-01
87,4.00E-01
88,4.00E-01
89,4.00E-01
90,4.00E-01
91,4.00E-01
92,4.00E-01
93,4.00E-01
94,1.14E+01
95,1.14E+01
96,1.16E+01
97,1.16E+01
98,1.66E+01
99,1.66E+01
100,1.66E+01
101,1.66E+01
102,1.68E+01
103,1.68E+01
104,1.68E+01
105,1.68E+01
106,1.70E+01
107,1.70E+01
108,1.70E+01
109,1.70E+01
110,1.68E+01
111,1.68E+01
112,1.68E+01
113,1.68E+01
114,1.66E+01
115,1.66E+01
116,1.66E+01
117,1.66E+01
118,1.70E+01
119,1.70E+01
120,1.68E+01
121,1.68E+01
122,1.68E+01
123,1.68E+01
124,1.70E+01
125,1.70E+01
126,1.66E+01
127,1.66E+01
128,1.66E+01
129,1.66E+01
130,1.68E+01
131,1.68E+01
132,1.66E+01
133,1.66E+01
134,1.64E+01
135,1.64E+01
136,1.64E+01
137,1.64E+01
138,1.66E+01
139,1.66E+01
140,1.66E+01
141,1.66E+01
142,1.66E+01
143,1.66E+01
144,1.66E+01
145,1.66E+01
146,1.68E+01
147,1.68E+01
148,1.70E+01
149,1.70E+01
150,1.72E+01
151,1.72E+01
152,1.70E+01
153,1.70E+01
154,1.76E+01
155,1.76E+01
156,1.74E+01
157,1.74E+01
158,1.70E+01
159,1.70E+01
160,1.70E+01
161,1.70E+01
162,1.66E+01
163,1.66E+01
164,1.66E+01
165,1.66E+01
166,1.70E+01
167,1.70E+01
168,1.68E+01
169,1.68E+01
170,1.68E+01
171,1.68E+01
172,1.68E+01
173,1.68E+01
174,1.66E+01
175,1.66E+01
176,1.68E+01
177,1.68E+01
178,1.70E+01
179,1.70E+01
180,1.70E+01
181,1.70E+01
182,1.68E+01
183,1.68E+01
184,1.66E+01
185,1.66E+01
186,1.66E+01
187,1.66E+01
188,1.68E+01
189,1.68E+01
190,1.66E+01
191,1.66E+01
192,1.66E+01
193,1.66E+01
194,1.64E+01
195,1.64E+01
196,1.64E+01
197,1.64E+01
198,1.66E+01
199,1.66E+01
200,1.66E+01
201,1.66E+01
202,1.66E+01
203,1.66E+01
204,1.66E+01
205,1.66E+01
206,1.64E+01
207,1.64E+01
208,1.64E+01
209,1.64E+01
210,1.64E+01
211,1.64E+01
212,1.64E+01
213,1.64E+01
214,1.68E+01
215,1.68E+01
216,1.68E+01
217,1.68E+01
218,1.68E+01
219,1.68E+01
220,1.68E+01
221,1.68E+01
222,1.64E+01
223,1.64E+01
224,1.64E+01
225,1.64E+01
226,1.62E+01
227,1.62E+01
228,1.62E+01
229,1.62E+01
230,1.68E+01
231,1.68E+01
232,1.68E+01
233,1.68E+01
234,1.64E+01
235,1.64E+01
236,1.64E+01
237,1.64E+01
238,1.66E+01
239,1.66E+01
240,1.64E+01
241,1.64E+01
242,1.64E+01
243,1.64E+01
244,1.64E+01
245,1.64E+01
246,1.64E+01
247,1.64E+01
248,1.64E+01
249,1.64E+01
250,1.66E+01
251,1.66E+01
252,1.64E+01
253,1.64E+01
254,1.64E+01
255,1.64E+01
256,1.64E+01
257,1.64E+01
258,1.68E+01
259,1.68E+01
260,1.68E+01
261,1.68E+01
262,1.72E+01
263,1.72E+01
264,1.72E+01
265,1.72E+01
266,1.72E+01
267,1.72E+01
268,1.72E+01
269,1.72E+01
270,1.68E+01
271,1.68E+01
272,1.70E+01
273,1.70E+01
274,1.66E+01
275,1.66E+01
276,1.64E+01
277,1.64E+01
278,1.66E+01
279,1.66E+01
280,1.66E+01
281,1.66E+01
282,1.64E+01
283,1.64E+01
284,1.64E+01
285,1.64E+01
286,1.66E+01
287,1.66E+01
288,1.66E+01
289,1.66E+01
290,1.64E+01
291,1.64E+01
292,1.64E+01
293,1.64E+01
294,1.64E+01
295,1.64E+01
296,1.64E+01
297,1.64E+01
298,1.64E+01
299,1.64E+01
300,1.64E+01
301,1.64E+01
302,1.64E+01
303,1.64E+01
304,1.64E+01
305,1.64E+01
306,1.64E+01
307,1.64E+01
308,1.66E+01
309,1.66E+01
310,1.66E+01
311,1.66E+01
312,1.66E+01
313,1.66E+01
314,1.64E+01
315,1.64E+01
316,1.64E+01
317,1.64E+01
318,1.64E+01
319,1.64E+01
320,1.64E+01
321,1.64E+01
322,1.68E+01
